LEAGUE,SEASON,TEAM_ID,TEAM_NAME,PLAYOFF_W,PLAYOFF_L,MADE_PLAYOFFS,CHAMPION
WNBA,2013,1611661320,Los Angeles Sparks,1,2,True,False
WNBA,2013,1611661324,Minnesota Lynx,7,0,True,True
WNBA,2013,1611661317,Phoenix Mercury,2,3,True,False
WNBA,2013,1611661328,Seattle Storm,0,2,True,False
WNBA,2013,1611661322,Washington Mystics,1,2,True,False
WNBA,2014,1611661330,Atlanta Dream,1,2,True,False
WNBA,2014,1611661329,Chicago Sky,4,5,True,False
WNBA,2014,1611661325,Indiana Fever,3,2,True,False
WNBA,2014,1611661320,Los Angeles Sparks,0,2,True,False
WNBA,2014,1611661324,Minnesota Lynx,3,2,True,False
WNBA,2014,1611661317,Phoenix Mercury,7,1,True,True
WNBA,2014,1611661319,San Antonio Stars,0,2,True,False
WNBA,2014,1611661322,Washington Mystics,0,2,True,False
WNBA,2015,1611661329,Chicago Sky,1,2,True,False
WNBA,2015,1611661325,Indiana Fever,6,5,True,False
WNBA,2015,1611661320,Los Angeles Sparks,1,2,True,False
WNBA,2015,1611661324,Minnesota Lynx,7,3,True,True
WNBA,2015,1611661313,New York Liberty,3,3,True,False
WNBA,2015,1611661317,Phoenix Mercury,2,2,True,False
WNBA,2015,1611661321,Tulsa Shock,0,2,True,False
WNBA,2015,1611661322,Washington Mystics,1,2,True,False
WNBA,2016,1611661330,Atlanta Dream,1,1,True,False
WNBA,2016,1611661329,Chicago Sky,2,3,True,False
WNBA,2016,1611661325,Indiana Fever,0,1,True,False
WNBA,2016,1611661320,Los Angeles Sparks,6,3,True,True
WNBA,2016,1611661324,Minnesota Lynx,5,3,True,False
WNBA,2016,1611661313,New York Liberty,0,1,True,False
WNBA,2016,1611661317,Phoenix Mercury,2,3,True,False
WNBA,2016,1611661328,Seattle Storm,0,1,True,False
WNBA,2017,1611661323,Connecticut Sun,0,1,True,False
WNBA,2017,1611661321,Dallas Wings,0,1,True,False
WNBA,2017,1611661320,Los Angeles Sparks,5,3,True,False
WNBA,2017,1611661324,Minnesota Lynx,6,2,True,True
WNBA,2017,1611661313,New York Liberty,0,1,True,False
WNBA,2017,1611661317,Phoenix Mercury,2,3,True,False
WNBA,2017,1611661328,Seattle Storm,0,1,True,False
WNBA,2017,1611661322,Washington Mystics,2,3,True,False
WNBA,2018,1611661330,Atlanta Dream,2,3,True,False
WNBA,2018,1611661323,Connecticut Sun,0,1,True,False
WNBA,2018,1611661321,Dallas Wings,0,1,True,False
WNBA,2018,1611661320,Los Angeles Sparks,1,1,True,False
WNBA,2018,1611661324,Minnesota Lynx,0,1,True,False
WNBA,2018,1611661317,Phoenix Mercury,4,3,True,False
WNBA,2018,1611661328,Seattle Storm,6,2,True,True
WNBA,2018,1611661322,Washington Mystics,4,5,True,False
WNBA,2019,1611661329,Chicago Sky,1,1,True,False
WNBA,2019,1611661323,Connecticut Sun,5,3,True,False
WNBA,2019,1611661319,Las Vegas Aces,2,3,True,False
WNBA,2019,1611661320,Los Angeles Sparks,1,3,True,False
WNBA,2019,1611661324,Minnesota Lynx,0,1,True,False
WNBA,2019,1611661317,Phoenix Mercury,0,1,True,False
WNBA,2019,1611661328,Seattle Storm,1,1,True,False
WNBA,2019,1611661322,Washington Mystics,6,3,True,True
WNBA,2020,1611661329,Chicago Sky,0,1,True,False
WNBA,2020,1611661323,Connecticut Sun,4,3,True,False
WNBA,2020,1611661319,Las Vegas Aces,3,5,True,False
WNBA,2020,1611661320,Los Angeles Sparks,0,1,True,False
WNBA,2020,1611661324,Minnesota Lynx,1,3,True,False
WNBA,2020,1611661317,Phoenix Mercury,1,1,True,False
WNBA,2020,1611661328,Seattle Storm,6,0,True,True
WNBA,2020,1611661322,Washington Mystics,0,1,True,False
WNBA,2021,1611661329,Chicago Sky,8,2,True,True
WNBA,2021,1611661323,Connecticut Sun,1,3,True,False
WNBA,2021,1611661321,Dallas Wings,0,1,True,False
WNBA,2021,1611661319,Las Vegas Aces,2,3,True,False
WNBA,2021,1611661324,Minnesota Lynx,0,1,True,False
WNBA,2021,1611661313,New York Liberty,0,1,True,False
WNBA,2021,1611661317,Phoenix Mercury,6,5,True,False
WNBA,2021,1611661328,Seattle Storm,0,1,True,False
WNBA,2022,1611661329,Chicago Sky,4,4,True,False
WNBA,2022,1611661323,Connecticut Sun,6,6,True,False
WNBA,2022,1611661321,Dallas Wings,1,2,True,False
WNBA,2022,1611661319,Las Vegas Aces,8,2,True,True
WNBA,2022,1611661313,New York Liberty,1,2,True,False
WNBA,2022,1611661317,Phoenix Mercury,0,2,True,False
WNBA,2022,1611661328,Seattle Storm,3,3,True,False
WNBA,2022,1611661322,Washington Mystics,0,2,True,False
WNBA,2023,1611661330,Atlanta Dream,0,2,True,False
WNBA,2023,1611661329,Chicago Sky,0,2,True,False
WNBA,2023,1611661323,Connecticut Sun,3,4,True,False
WNBA,2023,1611661321,Dallas Wings,2,3,True,False
WNBA,2023,1611661319,Las Vegas Aces,8,1,True,True
WNBA,2023,1611661324,Minnesota Lynx,1,2,True,False
WNBA,2023,1611661313,New York Liberty,6,4,True,False
WNBA,2023,1611661322,Washington Mystics,0,2,True,False
WNBA,2024,1611661330,Atlanta Dream,0,2,True,False
WNBA,2024,1611661323,Connecticut Sun,4,3,True,False
WNBA,2024,1611661325,Indiana Fever,0,2,True,False
WNBA,2024,1611661319,Las Vegas Aces,3,3,True,False
WNBA,2024,1611661324,Minnesota Lynx,7,5,True,False
WNBA,2024,1611661313,New York Liberty,8,3,True,True
WNBA,2024,1611661317,Phoenix Mercury,0,2,True,False
WNBA,2024,1611661328,Seattle Storm,0,2,True,False
WNBA,2025,1611661330,Atlanta Dream,1,2,True,False
WNBA,2025,1611661331,Golden State Valkyries,0,2,True,False
WNBA,2025,1611661325,Indiana Fever,4,4,True,False
WNBA,2025,1611661319,Las Vegas Aces,9,3,True,True
WNBA,2025,1611661324,Minnesota Lynx,3,3,True,False
WNBA,2025,1611661313,New York Liberty,1,2,True,False
WNBA,2025,1611661317,Phoenix Mercury,5,6,True,False
WNBA,2025,1611661328,Seattle Storm,1,2,True,False
